25052,E1136,E11.36
25052,E1139,E11.39
25052,E1165,E11.65
25053,E10311,E10.311
25053,E10319,E10.319
25053,E1036,E10.36
25053,E1039,E10.39
25053,E1065,E10.65
25060,E1140,E11.40
25061,E1040,E10.40
25062,E1140,E11.40
25062,E1165,E11.65
25063,E1040,E10.40
25063,E1065,E10.65
25070,E1151,E11.51
25071,E1051,E10.51
25072,E1151,E11.51
25072,E1165,E11.65
25073,E1051,E10.51
25073,E1065,E10.65
25080,E11618,E11.618
25080,E11620,E11.620
25080,E11621,E11.621
25080,E11622,E11.622
25080,E11628,E11.628
25080,E11630,E11.630
25080,E11638,E11.638
25080,E11649,E11.649
25080,E1165,E11.65
25080,E1169,E11.69
25081,E10618,E10.618
25081,E10620,E10.620
25081,E10621,E10.621
25081,E10622,E10.622
25081,E10628,E10.628
25081,E10630,E10.630
25081,E10638,E10.638
25081,E10649,E10.649
25081,E1065,E10.65
25081,E1069,E10.69
25082,E1165,E11.65
25082,E1169,E11.69
25083,E1065,E10.65
25083,E1069,E10.69
25090,E118,E11.8
25091,E108,E10.8
25092,E1165,E11.65
25092,E118,E11.8
25093,E1065,E10.65
25093,E108,E10.8
2510,E15,E15.
2511,E160,E16.0
2511,E161,E16.1
2512,E162,E16.2
2513,E891,E89.1
2514,E163,E16.3
2515,E164,E16.4
2518,E168,E16.8
2519,E169,E16.9
25200,E213,E21.3
25201,E210,E21.0
25202,E211,E21.1
25208,E212,E21.2
2521,E209,E20.9
2528,E214,E21.4
2529,E215,E21.5
2530,E220,E22.0
2531,E228,E22.8
2531,E229,E22.9
2532,E230,E23.0
2533,E230,E23.0
2534,E236,E23.6
2535,E232,E23.2
2536,E222,E22.2
2537,E231,E23.1
2537,E893,E89.3
2538,E236,E23.6
2539,E233,E23.3
2539,E237,E23.7
2540,E320,E32.0
2541,E321,E32.1
2548,E328,E32.8
2549,E329,E32.9
2550,E240,E24.0
2550,E242,E24.2
2550,E243,E24.3
2550,E248,E24.8
2550,E249,E24.9
25510,E2609,E26.09
25510,E269,E26.9
25511,E2602,E26.02
25512,E2601,E26.01
25513,E2681,E26.81
25514,E261,E26.1
2552,E250,E25.0
2552,E258,E25.8
2552,E259,E25.9
2553,E270,E27.0
25541,E271,E27.1
25541,E272,E27.2
25541,E2740,E27.40
25542,E2749,E27.49
2555,E2749,E27.49
2556,E275,E27.5
2558,E278,E27.8
2559,E279,E27.9
2560,E280,E28.0
2561,E281,E28.1
2561,N981,N98.1
2562,E8940,E89.40
2562,E8941,E89.41
25631,E28310,E28.310
25631,E28319,E28.319
25639,E2839,E28.39
2564,E282,E28.2
2568,E288,E28.8
2569,E289,E28.9
2570,E290,E29.0
2571,E895,E89.5
2572,E291,E29.1
2578,E298,E29.8
2579,E299,E29.9
25801,E3121,E31.21
25802,E3122,E31.22
25803,E3123,E31.23
2581,E310,E31.0
2588,E3120,E31.20
2588,E318,E31.8
2589,E319,E31.9
2590,E300,E30.0
2591,E301,E30.1
2591,E308,E30.8
2592,E340,E34.0
2593,E342,E34.2
2594,E343,E34.3
25950,E3450,E34.50
25951,E3451,E34.51
25952,E3452,E34.52
2598,E348,E34.8
2599,E349,E34.9
260,E40,E40.
261,E41,E41.
261,E43,E43.
262,E43,E43.
2630,E440,E44.0
2631,E441,E44.1
2632,E45,E45.
2638,E46,E46.
2639,E46,E46.
2640,E500,E50.0
2641,E501,E50.1
2642,E502,E50.2
2643,E503,E50.3
2644,E504,E50.4
2645,E505,E50.5
2646,E506,E50.6
2647,E507,E50.7
2648,E508,E50.8
2649,E509,E50.9
2650,E5111,E51.11
2650,E5112,E51.12
2651,E518,E51.8
2651,E519,E51.9
2652,E52,E52.
2660,E530,E53.0
2661,E531,E53.1
2662,E538,E53.8
2669,E539,E53.9
267,E54,E54.
2680,E550,E55.0
2681,E643,E64.3
2682,M839,M83.9
2689,E559,E55.9
2690,E561,E56.1
2691,E560,E56.0
2691,E568,E56.8
2692,E569,E56.9
2693,E58,E58.
2693,E59,E59.
2693,E60,E60.
2693,E614,E61.4
2693,E615,E61.5
2698,E638,E63.8
2699,E639,E63.9
2700,E7200,E72.00
2700,E7201,E72.01
2700,E7204,E72.04
2700,E7209,E72.09
2701,E700,E70.0
2702,E7021,E70.21
2702,E7029,E70.29
2702,E7030,E70.30
2702,E705,E70.5
2702,E708,E70.8
2703,E710,E71.0
2703,E71120,E71.120
2703,E7119,E71.19
2703,E712,E71.2
2704,E7210,E72.10
2704,E7211,E72.11
2704,E7219,E72.19
2705,E7040,E70.40
2706,E7220,E72.20
2706,E7221,E72.21
2706,E7222,E72.22
2706,E7223,E72.23
2706,E7229,E72.29
2707,E723,E72.3
2707,E728,E72.8
2708,E7203,E72.03
2708,E728,E72.8
2709,E729,E72.9
2710,E7400,E74.00
2710,E7401,E74.01
2710,E7404,E74.04
2710,E7409,E74.09
2710,E744,E74.4
2711,E7421,E74.21
2712,E7411,E74.11
2712,E7412,E74.12
2713,E7439,E74.39
2714,E748,E74.8
2718,E7252,E72.52
2718,E7253,E72.53
2718,E744,E74.4
2718,E748,E74.8
2718,E771,E77.1
2719,E749,E74.9
2720,E7800,E78.00
2720,E7801,E78.01
2721,E781,E78.1
2722,E782,E78.2
2723,E783,E78.3
2724,E784,E78.4
2724,E785,E78.5
2725,E786,E78.6
2726,E881,E88.1
2727,E7521,E75.21
2727,E7522,E75.22
2727,E75249,E75.249
2727,E770,E77.0
2727,E771,E77.1
2728,E7881,E78.81
2728,E7889,E78.89
2728,E8889,E88.89
2729,E789,E78.9
2730,D890,D89.0
2731,D472,D47.2
2732,D891,D89.1
2733,C880,C88.0
2734,E8801,E88.01
2738,E8809,E88.09
2739,E8809,E88.09
27400,M1000,M10.00
27401,M1000,M10.00
27402,M1A9XX0,M1A.9XX0
27403,M1A00X1,M1A.00X1
27403,M1A20X1,M1A.20X1
27403,M1A30X1,M1A.30X1
27403,M1A40X1,M1A.40X1
27403,M1A9XX1,M1A.9XX1
27410,M1030,M10.30
27411,N200,N20.0
27419,M1030,M10.30
27481,M109,M10.9
27482,M109,M10.9
27489,M1040,M10.40
2749,M109,M10.9
27501,E83110,E83.110
27502,E83111,E83.111
27503,E83118,E83.118
27503,E83119,E83.119
27509,E8310,E83.10
27509,E8319,E83.19
2751,E8300,E83.00
2751,E8301,E83.01
2751,E8309,E83.09
2752,E8340,E83.40
2752,E8341,E83.41
2752,E8342,E83.42
2752,E8349,E83.49
2753,E8330,E83.30
2753,E8331,E83.31
2753,E8332,E83.32
2753,E8339,E83.39
27540,E8350,E83.50
27541,E8351,E83.51
27542,E8352,E83.52
27549,E201,E20.1
27549,E8359,E83.59
2755,E8381,E83.81
2758,E8389,E83.89
2759,E839,E83.9
2760,E870,E87.0
2761,E871,E87.1
2762,E872,E87.2
2763,E873,E87.3
2764,E874,E87.4
27650,E869,E86.9
27651,E860,E86.0
27652,E861,E86.1
27661,E8771,E87.71
27669,E8770,E87.70
27669,E8779,E87.79
2767,E875,E87.5
2768,E876,E87.6
2769,E878,E87.8
27700,E849,E84.9
27701,E8411,E84.11
27702,E840,E84.0
27703,E8419,E84.19
27709,E848,E84.8
2771,E800,E80.0
2771,E8020,E80.20
2771,E8029,E80.29
2772,E791,E79.1
2772,E798,E79.8
27730,E859,E85.9
27731,E850,E85.0
27731,M041,M04.1
27739,E851,E85.1
27739,E853,E85.3
27739,E8581,E85.81
27739,E8582,E85.82
27739,E8589,E85.89
2774,E804,E80.4
2774,E805,E80.5
2774,E806,E80.6
2774,E807,E80.7
2775,E7601,E76.01
2775,E7603,E76.03
2775,E761,E76.1
2775,E76219,E76.219
2775,E7622,E76.22
2775,E7629,E76.29
2775,E763,E76.3
2776,D841,D84.1
2777,E8881,E88.81
27781,E7141,E71.41
27782,E7142,E71.42
27783,E7143,E71.43
27784,E71448,E71.448
27785,E71310,E71.310
27785,E71311,E71.311
27785,E71312,E71.312
27785,E71313,E71.313
27785,E71314,E71.314
27785,E71318,E71.318
27786,E7150,E71.50
27786,E71510,E71.510
27786,E71511,E71.511
27786,E71522,E71.522
27786,E71529,E71.529
27786,E71548,E71.548
27787,E8840,E88.40
27787,E8841,E88.41
27787,E8842,E88.42
27787,E8849,E88.49
27787,H49819,H49.819
27788,E883,E88.3
27789,C965,C96.5
27789,C966,C96.6
27789,E7139,E71.39
27789,E803,E80.3
27789,E8889,E88.89
27789,E889,E88.9
2779,E889,E88.9
27800,E669,E66.9
27801,E6601,E66.01
27802,E663,E66.3
27803,E662,E66.2
2781,E65,E65.
2782,E670,E67.0
2783,E671,E67.1
2784,E673,E67.3
2788,E678,E67.8
27900,D801,D80.1
27901,D802,D80.2
27902,D804,D80.4
27903,D803,D80.3
27904,D800,D80.0
27905,D805,D80.5
27906,D831,D83.1
27909,D806,D80.6
27909,D807,D80.7
27909,D808,D80.8
27909,D809,D80.9
27910,D848,D84.8
27911,D821,D82.1
27912,D820,D82.0
27913,D814,D81.4
27919,D848,D84.8
2792,D810,D81.0
2792,D811,D81.1
2792,D812,D81.2
2792,D8189,D81.89
2792,D819,D81.9
2793,D849,D84.9
27941,D8982,D89.82
27949,D8989,D89.89
27950,D89813,D89.813
27951,D89810,D89.810
27952,D89811,D89.811
27953,D89812,D89.812
2798,D841,D84.1
2798,D8940,D89.40
2798,D8941,D89.41
2798,D8942,D89.42
2798,D8943,D89.43
2798,D8949,D89.49
2798,D8989,D89.89
2798,M359,M35.9
2799,D899,D89.9
2800,D500,D50.0
2801,D508,D50.8
2808,D501,D50.1
2808,D508,D50.8
2809,D509,D50.9
2810,D510,D51.0
2811,D511,D51.1
2811,D513,D51.3
2811,D518,D51.8
2812,D520,D52.0
2812,D521,D52.1
2812,D528,D52.8
2812,D529,D52.9
2813,D531,D53.1
2814,D530,D53.0
2818,D532,D53.2
2818,D538,D53.8
2819,D539,D53.9
2820,D580,D58.0
2821,D581,D58.1
2822,D550,D55.0
2822,D551,D55.1
2823,D558,D55.8
28240,D569,D56.9
28241,D5740,D57.40
28242,D57419,D57.419
28243,D560,D56.0
28244,D561,D56.1
28245,D562,D56.2
28246,D563,D56.3
28247,D565,D56.5
28249,D568,D56.8
2825,D573,D57.3
28260,D571,D57.1
28261,D571,D57.1
28262,D5700,D57.00
28263,D5720,D57.20
28264,D57219,D57.219
28268,D5780,D57.80
28269,D57819,D57.819
2827,D564,D56.4
2827,D582,D58.2
2828,D588,D58.8
2829,D589,D58.9
2830,D590,D59.0
2830,D591,D59.1
28310,D594,D59.4
28311,D593,D59.3
28319,D594,D59.4
2832,D595,D59.5
2832,D596,D59.6
2832,D598,D59.8
2839,D599,D59.9
28401,D6101,D61.01
28409,D6109,D61.09
28411,D61810,D61.810
28412,D61811,D61.811
28419,D61818,D61.818
2842,D6182,D61.82
28481,D600,D60.0
28481,D601,D60.1
28481,D608,D60.8
28481,D609,D60.9
28489,D611,D61.1
28489,D612,D61.2
28489,D6189,D61.89
2849,D619,D61.9
2850,D640,D64.0
2850,D641,D64.1
2850,D642,D64.2
2850,D643,D64.3
2851,D62,D62.
28521,D631,D63.1
28522,D630,D63.0
28529,D638,D63.8
2853,D6481,D64.81
2858,D644,D64.4
2858,D6489,D64.89
2859,D649,D64.9
2860,D66,D66.
2861,D67,D67.
2862,D681,D68.1
2863,D682,D68.2
2864,D680,D68.0
28652,D68311,D68.311
28653,D68312,D68.312
28659,D68318,D68.318
2866,D65,D65.
2867,D6832,D68.32
2867,D684,D68.4
2869,D688,D68.8
2869,D689,D68.9
2870,D690,D69.0
2871,D691,D69.1
2872,D692,D69.2
28730,D6949,D69.49
28731,D693,D69.3
28732,D6941,D69.41
28733,D6942,D69.42
28739,D693,D69.3
28739,D6949,D69.49
28741,D6951,D69.51
28749,D6959,D69.59
2875,D696,D69.6
2878,D698,D69.8
2879,D699,D69.9
28800,D709,D70.9
28801,D700,D70.0
28802,D704,D70.4
28803,D701,D70.1
28803,D702,D70.2
28804,D703,D70.3
28809,D708,D70.8
2881,D71,D71.
2882,D720,D72.0
2883,D721,D72.1
2884,D761,D76.1
2884,D762,D76.2
2884,D763,D76.3
28850,D72819,D72.819
28851,D72810,D72.810
28859,D72818,D72.818
28860,D72829,D72.829
28861,D72820,D72.820
28862,D72823,D72.823
28863,D72821,D72.821
28864,D72822,D72.822
28865,D72824,D72.824
28866,D72825,D72.825
28869,D72828,D72.828
2888,D7289,D72.89
2889,D729,D72.9
2890,D751,D75.1
2891,I881,I88.1
2892,I880,I88.0
2893,I889,I88.9
2894,D731,D73.1
28950,D739,D73.9
28951,D732,D73.2
28952,D5702,D57.02
28952,D57212,D57.212
28952,D57412,D57.412
28953,D7381,D73.81
28959,D733,D73.3
28959,D734,D73.4
28959,D735,D73.5
28959,D7389,D73.89
2896,D750,D75.0
2897,D740,D74.0
2897,D748,D74.8
2897,D749,D74.9
28981,D6851,D68.51
28981,D6852,D68.52
28981,D6859,D68.59
28981,D6861,D68.61
28981,D6862,D68.62
28982,D6869,D68.69
28983,D7581,D75.81
28984,D7582,D75.82
28989,D474,D47.4
28989,D7589,D75.89
28989,D892,D89.2
2899,D759,D75.9
2900,F0390,F03.90
29010,F0390,F03.90
29011,F0390,F03.90
29012,F0390,F03.90
29012,F05,F05.
29013,F0390,F03.90
29020,F0390,F03.90
29020,F05,F05.
29021,F0390,F03.90
2903,F0390,F03.90
2903,F05,F05.
29040,F0150,F01.50
29041,F0151,F01.51
29042,F0151,F01.51
29043,F0151,F01.51
2908,F0390,F03.90
2909,F0390,F03.90
2910,F10231,F10.231
2911,F1096,F10.96
2912,F1027,F10.27
2913,F10951,F10.951
2914,F10929,F10.929
2915,F10950,F10.950
29181,F10239,F10.239
29182,F10182,F10.182
29182,F10282,F10.282
29182,F10982,F10.982
29189,F10159,F10.159
29189,F10180,F10.180
29189,F10181,F10.181
29189,F10188,F10.188
29189,F10259,F10.259
29189,F10280,F10.280
29189,F10281,F10.281
29189,F10288,F10.288
29189,F10959,F10.959
29189,F10980,F10.980
2919,F1099,F10.99
2920,F19939,F19.939
29211,F19950,F19.950
29212,F19951,F19.951
2922,F15920,F15.920
29281,F19921,F19.921
29282,F1997,F19.97
29283,F1996,F19.96
29284,F1994,F19.94
29285,F11182,F11.182
29285,F11282,F11.282
29285,F11982,F11.982
29285,F13182,F13.182
29285,F13282,F13.282
29285,F13982,F13.982
29285,F14182,F14.182
29285,F14282,F14.282
29285,F14982,F14.982
29285,F15182,F15.182
29285,F15282,F15.282
29285,F15982,F15.982
29285,F19182,F19.182
29285,F19282,F19.282
29285,F19982,F19.982
29289,F11159,F11.159
29289,F11181,F11.181
29289,F11188,F11.188
29289,F11222,F11.222
29289,F11259,F11.259
29289,F11281,F11.281
29289,F11288,F11.288
29289,F11922,F11.922
29289,F11959,F11.959
29289,F11981,F11.981
29289,F11988,F11.988
29289,F12122,F12.122
29289,F12159,F12.159
29289,F12180,F12.180
29289,F12188,F12.188
29289,F12222,F12.222
29289,F12259,F12.259
29289,F12280,F12.280
29289,F12288,F12.288
29289,F12922,F12.922
29289,F12959,F12.959
29289,F12980,F12.980
29289,F12988,F12.988
29289,F13159,F13.159
29289,F13180,F13.180
29289,F13181,F13.181
29289,F13188,F13.188
29289,F13259,F13.259
29289,F13280,F13.280
29289,F13281,F13.281
29289,F13288,F13.288
29289,F13959,F13.959
29289,F13980,F13.980
29289,F13981,F13.981
29289,F13988,F13.988
29289,F14122,F14.122
29289,F14159,F14.159
29289,F14180,F14.180
29289,F14181,F14.181
29289,F14188,F14.188
29289,F14222,F14.222
29289,F14259,F14.259
29289,F14280,F14.280
29289,F14281,F14.281
29289,F14288,F14.288
29289,F14922,F14.922
29289,F14959,F14.959
29289,F14980,F14.980
29289,F14981,F14.981
29289,F14988,F14.988
29289,F15122,F15.122
29289,F15159,F15.159
29289,F15180,F15.180
29289,F15181,F15.181
29289,F15188,F15.188
29289,F15222,F15.222
29289,F15259,F15.259
29289,F15280,F15.280
29289,F15281,F15.281
29289,F15288,F15.288
29289,F15922,F15.922
29289,F15959,F15.959
29289,F15980,F15.980
29289,F15981,F15.981
29289,F15988,F15.988
29289,F16122,F16.122
29289,F16159,F16.159
29289,F16180,F16.180
29289,F16183,F16.183
29289,F16188,F16.188
29289,F16259,F16.259
29289,F16280,F16.280
29289,F16283,F16.283
29289,F16288,F16.288
29289,F16959,F16.959
29289,F16980,F16.980
29289,F16983,F16.983
29289,F16988,F16.988
29289,F17208,F17.208
29289,F17218,F17.218
29289,F17228,F17.228
29289,F17298,F17.298
29289,F18159,F18.159
29289,F18180,F18.180
29289,F18188,F18.188
29289,F18259,F18.259
29289,F18280,F18.280
29289,F18288,F18.288
29289,F18959,F18.959
29289,F18980,F18.980
29289,F18988,F18.988
29289,F19122,F19.122
29289,F19159,F19.159
29289,F19180,F19.180
29289,F19181,F19.181
29289,F19188,F19.188
29289,F19222,F19.222
29289,F19259,F19.259
29289,F19280,F19.280
29289,F19281,F19.281
29289,F19288,F19.288
29289,F19922,F19.922
29289,F19959,F19.959
29289,F19980,F19.980
29289,F19981,F19.981
29289,F19988,F19.988
2929,F1999,F19.99
2930,F05,F05.
2931,F05,F05.
29381,F062,F06.2
29382,F060,F06.0
29383,F0630,F06.30
29384,F064,F06.4
29389,F061,F06.1
29389,F53,F53.
2939,F068,F06.8
2940,F04,F04.
29410,F0280,F02.80
29411,F0281,F02.81
29420,F0390,F03.90
29421,F0391,F03.91
2948,F060,F06.0
2948,F068,F06.8
2949,F068,F06.8
29500,F2089,F20.89
29501,F2089,F20.89
29502,F2089,F20.89
29503,F2089,F20.89
29504,F2089,F20.89
29505,F2089,F20.89
29510,F201,F20.1
29511,F201,F20.1
29512,F201,F20.1
29513,F201,F20.1
29514,F201,F20.1
29515,F201,F20.1
29520,F202,F20.2
29521,F202,F20.2
29522,F202,F20.2
29523,F202,F20.2
29524,F202,F20.2
29525,F202,F20.2
29530,F200,F20.0
29531,F200,F20.0
29532,F200,F20.0
29533,F200,F20.0
29534,F200,F20.0
29535,F200,F20.0
29540,F2081,F20.81
29541,F2081,F20.81
29542,F2081,F20.81
29543,F2081,F20.81
29544,F2081,F20.81
29545,F2081,F20.81
29550,F2089,F20.89
29551,F2089,F20.89
29552,F2089,F20.89
29553,F2089,F20.89
29554,F2089,F20.89
29555,F2089,F20.89
29560,F205,F20.5
29561,F205,F20.5
29562,F205,F20.5
29563,F205,F20.5
29564,F205,F20.5
29565,F205,F20.5
29570,F259,F25.9
29571,F259,F25.9
29572,F259,F25.9
29573,F259,F25.9
29574,F259,F25.9
29575,F259,F25.9
29580,F2089,F20.89
29581,F2089,F20.89
29582,F2089,F20.89
29583,F2089,F20.89
29584,F2089,F20.89
29585,F2089,F20.89
29590,F209,F20.9
29591,F209,F20.9
29592,F209,F20.9
29593,F209,F20.9
29594,F209,F20.9
29595,F209,F20.9
29600,F3010,F30.10
29601,F3011,F30.11
29602,F3012,F30.12
29603,F3013,F30.13
29604,F302,F30.2
29605,F303,F30.3
29606,F304,F30.4
29610,F3010,F30.10
29611,F3011,F30.11
29612,F3012,F30.12
29613,F3013,F30.13
29614,F302,F30.2
29615,F303,F30.3
29616,F304,F30.4
29620,F329,F32.9
29621,F320,F32.0
29622,F321,F32.1
29623,F322,F32.2
29624,F323,F32.3
29625,F324,F32.4
29626,F325,F32.5
29630,F339,F33.9
29631,F330,F33.0
29632,F331,F33.1
29633,F332,F33.2
29634,F333,F33.3
29635,F3341,F33.41
29636,F3342,F33.42
29640,F3110,F31.10
29641,F3111,F31.11
29642,F3112,F31.12
29643,F3113,F31.13
29644,F312,F31.2
29645,F3173,F31.73
29646,F3174,F31.74
29650,F3130,F31.30
29651,F3131,F31.31
29652,F3132,F31.32
29653,F314,F31.4
29654,F315,F31.5
29655,F3175,F31.75
29656,F3176,F31.76
29660,F3160,F31.60
29661,F3161,F31.61
29662,F3162,F31.62
29663,F3163,F31.63
29664,F3164,F31.64
29665,F3177,F31.77
29666,F3178,F31.78
2967,F319,F31.9
29680,F319,F31.9
29681,F308,F30.8
29682,F3289,F32.89
29689,F3181,F31.81
29690,F39,F39.
29699,F3481,F34.81
29699,F3489,F34.89
2970,F22,F22.
2971,F22,F22.
2972,F22,F22.
2973,F24,F24.
2978,F22,F22.
2979,F23,F23.
2980,F323,F32.3
2980,F333,F33.3
2981,F28,F28.
2982,F4489,F44.89
2983,F23,F23.
2984,F23,F23.
2988,F23,F23.
2989,F29,F29.
29900,F840,F84.0
29901,F840,F84.0
29910,F843,F84.3
29911,F843,F84.3
29980,F845,F84.5
29980,F848,F84.8
29981,F845,F84.5
29981,F848,F84.8
29990,F849,F84.9
29991,F849,F84.9
30000,F419,F41.9
30001,F410,F41.0
30002,F411,F41.1
30009,F418,F41.8
30010,F449,F44.9
30011,F444,F44.4
30011,F446,F44.6
30012,F440,F44.0
30013,F441,F44.1
30014,F4481,F44.81
30015,F449,F44.9
30016,F4489,F44.89
30016,F6811,F68.11
30019,F688,F68.8
30020,F409,F40.9
30021,F4001,F40.01
30022,F4002,F40.02
30023,F4010,F40.10
30029,F40218,F40.218
30029,F40240,F40.240
30029,F40241,F40.241
30029,F408,F40.8
3003,F422,F42.2
3003,F423,F42.3
3003,F428,F42.8
3003,F429,F42.9
3004,F341,F34.1
3005,F488,F48.8
3006,F481,F48.1
3007,F4521,F45.21
3007,F4522,F45.22
30081,F450,F45.0
30082,F451,F45.1
30082,F459,F45.9
30089,F458,F45.8
30089,F488,F48.8
3009,F489,F48.9
3009,F99,F99.
3010,F600,F60.0
30110,F340,F34.0
30111,F6089,F60.89
30112,F341,F34.1
30113,F340,F34.0
30120,F601,F60.1
30121,F601,F60.1
30122,F21,F21.
3013,F603,F60.3
3014,F605,F60.5
30150,F604,F60.4
30151,F6812,F68.12
30159,F604,F60.4
3016,F607,F60.7
3017,F602,F60.2
30181,F6081,F60.81
30182,F606,F60.6
30183,F603,F60.3
30184,F6089,F60.89
30189,F6089,F60.89
3019,F609,F60.9
3020,F66,F66.
3021,F6589,F65.89
3022,F654,F65.4
3023,F651,F65.1
3024,F652,F65.2
30250,F640,F64.0
30250,Z87890,Z87.890
30251,F640,F64.0
30252,F640,F64.0
30253,F640,F64.0
3026,F642,F64.2
30270,R37,R37.
30271,F520,F52.0
30272,F5221,F52.21
30272,F528,F52.8
30273,F5231,F52.31
30274,F5232,F52.32
30275,F524,F52.4
30276,F526,F52.6
30279,F521,F52.1
30279,F528,F52.8
30281,F650,F65.0
30282,F653,F65.3
30283,F6551,F65.51
30284,F6552,F65.52
30285,F641,F64.1
30289,F6581,F65.81
30289,F6589,F65.89
30289,F66,F66.
3029,F659,F65.9
30300,F10229,F10.229
30301,F10229,F10.229
30302,F10229,F10.229
30303,F10229,F10.229
30390,F1020,F10.20
30391,F1020,F10.20
30392,F1020,F10.20
30393,F1021,F10.21
30400,F1120,F11.20
30401,F1120,F11.20
30402,F1120,F11.20
30403,F1121,F11.21
30410,F1320,F13.20
30411,F1320,F13.20
30412,F1320,F13.20
30413,F1321,F13.21
30420,F1420,F14.20
30421,F1420,F14.20
30422,F1420,F14.20
30423,F1421,F14.21
30430,F1220,F12.20
30431,F1220,F12.20
30432,F1220,F12.20
30433,F1221,F12.21
30440,F1520,F15.20
30441,F1520,F15.20
30442,F1520,F15.20
30443,F1521,F15.21
30450,F1620,F16.20
30451,F1620,F16.20
30452,F1620,F16.20
30453,F1621,F16.21
30460,F1920,F19.20
30461,F1920,F19.20
30462,F1920,F19.20
30463,F1921,F19.21
30470,F1920,F19.20
30471,F1920,F19.20
30472,F1920,F19.20
30473,F1921,F19.21
30480,F1920,F19.20
30481,F1920,F19.20
30482,F1920,F19.20
30483,F1921,F19.21
30490,F1920,F19.20
30491,F1920,F19.20
30492,F1920,F19.20
30493,F1921,F19.21
30500,F1010,F10.10
30501,F1010,F10.10
30502,F1010,F10.10
30503,F1011,F10.11
3051,F17200,F17.200
30520,F1210,F12.10
30521,F1210,F12.10
30521,F1290,F12.90
30522,F1210,F12.10
30522,F1290,F12.90
30523,F1211,F12.11
30530,F1610,F16.10
30531,F1610,F16.10
30532,F1610,F16.10
30533,F1611,F16.11
30540,F1310,F13.10
30541,F1310,F13.10
30542,F1310,F13.10
30543,F1311,F13.11
30550,F1110,F11.10
30551,F1110,F11.10
30552,F1110,F11.10
30553,F1111,F11.11
30560,F1410,F14.10
30561,F1410,F14.10
30562,F1410,F14.10
30563,F1411,F14.11
30570,F1510,F15.10
30571,F1510,F15.10
30572,F1510,F15.10
30573,F1511,F15.11
30580,F1910,F19.10
30581,F1910,F19.10
30582,F1910,F19.10
30583,F1911,F19.11
30590,F1810,F18.10
30590,F1910,F19.10
30591,F1810,F18.10
30591,F1910,F19.10
30592,F1810,F18.10
30592,F1910,F19.10
30593,F1811,F18.11
30593,F1911,F19.11
3060,F458,F45.8
3061,F458,F45.8
3062,F458,F45.8
3063,F424,F42.4
3063,F458,F45.8
3064,F458,F45.8
30650,F458,F45.8
30651,F525,F52.5
30652,F458,F45.8
30653,F458,F45.8
30659,F458,F45.8
3066,F458,F45.8
3067,F458,F45.8
3068,F458,F45.8
3068,F59,F59.
3069,F459,F45.9
3070,F985,F98.5
3071,F5000,F50.00
30720,F959,F95.9
30721,F950,F95.0
30722,F951,F95.1
30723,F952,F95.2
3073,F984,F98.4
30740,F519,F51.9
30741,F5102,F51.02
30741,F5109,F51.09
30742,F5101,F51.01
30742,F5103,F51.03
30742,F5109,F51.09
30743,F5119,F51.19
30744,F5111,F51.11
30744,F5112,F51.12
30744,F5119,F51.19
30745,F518,F51.8
30746,F513,F51.3
30747,F518,F51.8
30748,F518,F51.8
30749,F518,F51.8
30750,F509,F50.9
30751,F502,F50.2
30752,F983,F98.3
30753,F9821,F98.21
30754,F5089,F50.89
30759,F5081,F50.81
30759,F5082,F50.82
30759,F5089,F50.89
30759,F9829,F98.29
3076,F980,F98.0
3077,F981,F98.1
30780,F4541,F45.41
30781,G44209,G44.209
30789,F4542,F45.42
3079,F633,F63.3
3079,R451,R45.1
3080,F430,F43.0
3081,F430,F43.0
3082,F430,F43.0
3083,F430,F43.0
3084,F430,F43.0
3089,F430,F43.0
3089,R457,R45.7
3090,F4321,F43.21
3091,F4321,F43.21
30921,F930,F93.0
30922,F948,F94.8
30923,F948,F94.8
30924,F4322,F43.22
30928,F4323,F43.23
30929,F4329,F43.29
30929,F948,F94.8
3093,F4324,F43.24
3094,F4325,F43.25
30981,F4310,F43.10
30981,F4312,F43.12
30982,F438,F43.8
30983,F438,F43.8
30989,F438,F43.8
3099,F4320,F43.20
3100,F070,F07.0
3101,F070,F07.0
3102,F0781,F07.81
31081,F482,F48.2
31089,F0789,F07.89
3109,F09,F09.
311,F329,F32.9
31200,F911,F91.1
31201,F911,F91.1
31202,F911,F91.1
31203,F911,F91.1
31210,F918,F91.8
31211,F918,F91.8
31212,F918,F91.8
31213,F918,F91.8
31220,F912,F91.2
31221,F912,F91.2
31222,F912,F91.2
31223,F912,F91.2
31230,F639,F63.9
31231,F630,F63.0
31232,F632,F63.2
31233,F631,F63.1
31234,F6381,F63.81
31235,F6381,F63.81
31239,F633,F63.3
31239,F6389,F63.89
3124,F918,F91.8
31281,F911,F91.1
31282,F912,F91.2
31289,F918,F91.8
3129,F919,F91.9
3130,F938,F93.8
3131,F938,F93.8
31321,F938,F93.8
31322,F938,F93.8
31323,F940,F94.0
3133,F938,F93.8
31381,F913,F91.3
31382,F938,F93.8
31383,F938,F93.8
31389,F938,F93.8
31389,F941,F94.1
31389,F988,F98.8
3139,F939,F93.9
3139,F948,F94.8
3139,F989,F98.9
31400,F900,F90.0
31400,F909,F90.9
31401,F901,F90.1
31401,F902,F90.2
31401,F909,F90.9
3141,F908,F90.8
3142,F908,F90.8
3148,F908,F90.8
3149,F909,F90.9
