10ClassKind,icd10Code,11ClassKind,icd11Code
category,H17.8,category,9A77.Z
category,H17.9,category,9A77.Z
category,H18,category,9A78.Z
category,H18.0,category,9A78.1
category,H18.1,category,9A78.20
category,H18.2,category,9A78.2Z
category,H18.3,category,9A78.3
category,H18.4,category,9A78.4
category,H18.5,category,9A70.Z
category,H18.6,category,9A78.50
category,H18.7,category,9A78.5Z
category,H18.7,category,MC20.0
category,H18.8,category,9A78.Z
category,H18.9,category,9A7Z
category,H19,category,9A7Z
category,H19.0,category,9A7Z
category,H19.1,category,1F00.10
category,H19.2,category,9A71
category,H19.3,category,9A7Z
category,H19.3,category,9A75
category,H19.8,category,MC20.0
category,H20,category,9A96.0
category,H20,category,9A96.1
category,H20.0,category,9A96.Z
category,H20.1,category,9A96.Z
category,H20.2,category,9A96.Z
category,H20.8,category,9A96.Z
category,H20.9,category,9A96.Z
category,H21,category,9A9Z
category,H21.0,category,9A80
category,H21.1,category,9A8Z
category,H21.1,category,9A94.0
category,H21.2,category,9A90.Z
category,H21.3,category,9A91
category,H21.3,category,9A82
category,H21.4,category,9A92
category,H21.5,category,9A93
category,H21.8,category,9A94.2
category,H21.8,category,9A94.1
category,H21.8,category,9B01.3
category,H21.8,category,9A9Z
category,H21.9,category,9A8Z
category,H21.9,category,9A94
category,H22,category,9A94
category,H22.0,category,9A94
category,H22.1,category,9A96.Z
category,H22.8,category,9A94
block,H25-H28,category,9B1Z
category,H25,category,9B10.0Z
category,H25.0,category,9B10.0Z
category,H25.1,category,9B10.0Z
category,H25.2,category,9B10.0Z
category,H25.8,category,9B10.0Z
category,H25.9,category,9B10.0Z
category,H26,category,9B10.2
category,H26.0,category,9B10.1Z
category,H26.1,category,9B10.20
category,H26.2,category,9B10.2
category,H26.3,category,9B10.2
category,H26.4,category,9B10.22
category,H26.8,category,9B10.2
category,H26.9,category,9B10.Z
category,H27,category,9B11
category,H27.0,category,9B11.0
category,H27.1,category,9B11.1
category,H27.8,category,9B11
category,H27.9,category,9B11
category,H28,category,9B10.2
category,H28.0,category,9B10.21
category,H28.1,category,9B10.2
category,H28.2,category,9B10.2
category,H28.8,category,9B11
block,H30-H36,category,9B6Z
block,H30-H36,category,9B7Z
category,H30,category,9B65.2
category,H30.0,category,9B65.2
category,H30.1,category,9B65.2
category,H30.2,category,9B65.2
category,H30.8,category,9B65.2
category,H30.9,category,9B65.2
category,H31,category,9B6Z
category,H31.0,category,9B62
category,H31.1,category,9B60
category,H31.2,category,9B61
category,H31.3,category,9B63
category,H31.4,category,9B64
category,H31.8,category,9B6Z
category,H31.9,category,9B6Z
category,H32,category,9B6Z
category,H32,category,9B7Z
category,H32.0,category,9B6Z
category,H32.0,category,9B7Z
category,H32.8,category,9B6Z
category,H32.8,category,9B7Z
category,H33,category,9B73.Z
category,H33.0,category,9B73.0
category,H33.1,category,9B73.2
category,H33.2,category,9B73.3
category,H33.3,category,9B73.4
category,H33.4,category,9B73.Z
category,H33.5,category,9B73.Z
category,H34,category,9B74.Z
category,H34.0,category,9B74.0
category,H34.1,category,9B74.0
category,H34.2,category,9B74.0
category,H34.8,category,9B74.Z
category,H34.9,category,9B74.Z
category,H35,category,9B78
category,H35.0,category,9B78.1Z
category,H35.1,category,9B71.3
category,H35.2,category,9B78.2
category,H35.3,category,9B78.3Z
category,H35.4,category,9B78.4
category,H35.5,category,9B70
category,H35.5,category,9E1Z
category,H35.6,category,9B78.5
category,H35.7,category,9B78.6Z
category,H35.8,category,9B78
category,H35.9,category,9B78
category,H36,category,9B78
category,H36.0,category,9B71.0Z
category,H36.8,category,9B78
block,H40-H42,category,9C61.Z
category,H40,category,9C61.Z
category,H40.0,category,9C60
category,H40.1,category,9C61.0Z
category,H40.2,category,9C61.1Z
category,H40.3,category,9C61.29
category,H40.4,category,9C61.24
category,H40.5,category,9C61.2Z
category,H40.6,category,9C61.2Z
category,H40.8,category,9C61.Z
category,H40.9,category,9C61.Z
category,H42,category,9C61.Z
category,H42.0,category,9C61.Z
category,H42.8,category,9C61.Z
block,H43-H45,category,9B8Z
block,H43-H45,category,9C2Z
category,H43,category,9B8Z
category,H43.0,category,9B82
category,H43.1,category,9B83
category,H43.2,category,9B8Z
category,H43.3,category,9B84
category,H43.3,category,MC1A
category,H43.8,category,9B8Z
category,H43.9,category,9B8Z
category,H44,category,9C2Z
category,H44.0,category,9C20.2
category,H44.1,category,9C21.Z
category,H44.1,category,9C20.0
category,H44.1,category,9C20.Z
category,H44.2,category,9B76
category,H44.3,category,9B3Z
category,H44.3,category,9C0Z
category,H44.4,category,9A83
category,H44.5,category,9E1Z
category,H44.6,category,NA06.80
category,H44.6,category,NA06.8B
category,H44.6,category,9A94
category,H44.7,category,NA06.81
category,H44.7,category,NA06.8C
category,H44.8,category,9B3Z
category,H44.8,category,9C0Z
category,H44.9,category,9B3Z
category,H44.9,category,9C0Z
category,H45,category,9B83
category,H45,category,9C21.Z
category,H45,category,9B8Z
category,H45.0,category,9B83
category,H45.1,category,9C21.Z
category,H45.8,category,9B8Z
block,H46-H48,category,9C4Z
category,H46,category,9C40.1Z
category,H47,category,9C4Z
category,H47.0,category,9C40.Z
category,H47.1,category,9C40.A0
category,H47.2,category,9C40.BZ
category,H47.3,category,9C40.AZ
category,H47.3,category,9C40.A1
category,H47.4,category,9C41
category,H47.5,category,9C42
category,H47.6,category,9C43
category,H47.7,category,9C4Z
category,H48,category,9C40.BZ
category,H48,category,9C40.10
category,H48.0,category,9C40.BZ
category,H48.1,category,9C40.10
category,H48.8,category,9C4Z
block,H49-H52,category,9C82.Z
block,H49-H52,category,9C82.2
block,H49-H52,category,9C85.00
block,H49-H52,category,9C85.0Z
block,H49-H52,category,9C85.01
block,H49-H52,category,9C85.1
block,H49-H52,category,9C85.02
block,H49-H52,category,9C82.1
block,H49-H52,category,9C82.3
block,H49-H52,category,9C85.2
category,H49,category,9C81.Z
category,H49.0,category,9C81.0Z
category,H49.1,category,9C81.1
category,H49.2,category,9C81.2
category,H49.3,category,9C81.3
category,H49.4,category,9C82.0
category,H49.8,category,9C81.Z
category,H49.9,category,9C81.Z
category,H50,category,9C8Z
category,H50.0,category,9C80.0
category,H50.1,category,9C80.1
category,H50.2,category,9C80.2
category,H50.3,category,9C80.3Z
category,H50.3,category,9C8Z
category,H50.4,category,9C8Z
category,H50.5,category,9C80.4
category,H50.6,category,9C80.5
category,H50.8,category,9C8Z
category,H50.9,category,9C80.Z
category,H51,category,9C83.Z
category,H51.0,category,9C83.0Z
category,H51.1,category,9C83.2
category,H51.1,category,9C83.3
category,H51.2,category,9C83.5
category,H51.8,category,9C85.Z
category,H51.8,category,9C82.4
category,H51.8,category,9A05.1
category,H51.9,category,9C83.Z
category,H52,category,9D0Z
category,H52.0,category,9D00.1
category,H52.1,category,9D00.0
category,H52.2,category,9D00.2
category,H52.3,category,9D00.5
category,H52.3,category,9D00.4
category,H52.4,category,9D00.3
category,H52.5,category,9D01.Z
category,H52.6,category,9D00.Z
category,H52.7,category,9D00.Z
block,H53-H54,category,9D7Z
block,H53-H54,category,9D90.Z
block,H53-H54,category,9D40
block,H53-H54,category,9E1Z
category,H53,category,9D7Z
category,H53.0,category,9D46
category,H53.1,category,9D51
category,H53.1,category,9D5Z
category,H53.2,category,9D46
category,H53.3,category,9D46
category,H53.4,category,9D42.Z
category,H53.4,category,MC19
category,H53.4,category,9D41
category,H53.5,category,9D44
category,H53.6,category,9D45
category,H53.8,category,9D7Z
category,H53.8,category,9D43
category,H53.8,category,9D53
category,H53.8,category,9D93
category,H53.8,category,9D45
category,H53.9,category,9D7Z
category,H54,category,9D90.Z
category,H54,category,9D40
category,H54,category,9E1Z
category,H54.0,category,9D90.4
category,H54.1,category,9D90.3
category,H54.2,category,9D90.2
category,H54.3,category,9D90.0
category,H54.3,category,9D90.1
category,H54.4,category,9D90.5
category,H54.5,category,9D40
category,H54.6,category,9D40
category,H54.9,category,9D90.Z
category,H54.9,category,9D40
category,H54.9,category,9E1Z
block,H55-H59,category,9C84.Z
block,H55-H59,block,
category,H55,category,9C84.Z
category,H57,category,LA11.62
category,H57,category,9B01.7
category,H57,category,9B02.2
category,H57,category,9B01.Z
category,H57,category,9B01.6
category,H57,category,9B02.1
category,H57,category,9B00.0
category,H57,category,9B01.2
category,H57,category,9B01.5
category,H57,category,9B01.0
category,H57,category,9B01.1
category,H57,category,9B02.Z
category,H57,category,9B00.3
category,H57,category,9B00.2
category,H57,category,9B00.1
category,H57,category,9B01.4
category,H57,category,9B00.Z
category,H57,category,MC18
category,H57,category,9C22.Z
category,H57,category,9A04
category,H57,category,MC14
category,H57,category,MC15
category,H57,category,9C22.1
category,H57,category,MC20
category,H57,category,MC11
category,H57,category,MC10
category,H57,category,9C22.0
category,H57,block,
category,H57.0,category,LA11.62
category,H57.0,category,9B01.7
category,H57.0,category,9B02.2
category,H57.0,category,9B01.Z
category,H57.0,category,9B01.6
category,H57.0,category,9B02.1
category,H57.0,category,9B00.0
category,H57.0,category,9B01.2
category,H57.0,category,9B01.5
category,H57.0,category,9B01.0
category,H57.0,category,9B01.1
category,H57.0,category,9B02.Z
category,H57.0,category,9B00.3
category,H57.0,category,9B00.2
category,H57.0,category,9B00.1
category,H57.0,category,9B01.4
category,H57.0,category,9B00.Z
category,H57.1,category,MC18
category,H57.1,category,9C22.Z
category,H57.8,category,9A04
category,H57.8,category,MC14
category,H57.8,category,MC15
category,H57.8,category,9C22.1
category,H57.8,category,MC20
category,H57.8,category,9C22.Z
category,H57.8,category,MC11
category,H57.8,category,MC10
category,H57.8,category,9C22.0
category,H57.9,block,
category,H58,category,9B0Z
category,H58,category,9B02.0
category,H58,category,9E1Z
category,H58.0,category,9B0Z
category,H58.0,category,9B02.0
category,H58.1,category,9E1Z
category,H58.8,category,9E1Z
category,H59,block,
category,H59.0,category,9D20
category,H59.8,block,
category,H59.9,block,
chapter,VIII,category,AC0Z
block,H60-H62,category,AA6Z
category,H60,category,AA3Z
category,H60.0,category,AA00
category,H60.1,category,AA01
category,H60.2,category,AA02
category,H60.3,category,AA0Z
category,H60.4,category,AA40.2
category,H60.5,category,AA11
category,H60.8,category,AA13
category,H60.9,category,AA3Z
category,H61,category,AA6Z
category,H61.0,category,AA04
category,H61.1,category,AA41
category,H61.2,category,AA42
category,H61.3,category,AA40.1
category,H61.8,category,AA40.0
category,H61.9,category,AA6Z
category,H62,category,AA3Z
category,H62.0,category,AA3Z
category,H62.1,category,AA3Z
category,H62.2,category,AA3Z
category,H62.3,category,AA3Z
category,H62.4,category,AA3Z
category,H62.8,category,AA3Z
block,H65-H75,category,AB1Z
category,H65,category,AA8Z
category,H65.0,category,AA80
category,H65.1,category,AA81
category,H65.2,category,AA82
category,H65.3,category,AA82
category,H65.4,category,AA8Z
category,H65.9,category,AA8Z
category,H66,category,AA9Z
category,H66.0,category,AA90
category,H66.1,category,AA91.0
category,H66.2,category,AA91.1
category,H66.3,category,AA91.2
category,H66.4,category,AA9Z
category,H66.9,category,AB0Z
category,H67,category,AB0Z
category,H67.0,category,AB0Z
category,H67.1,category,AB0Z
category,H67.8,category,AB0Z
category,H68,category,AB10.Z
category,H68.0,category,AB10.2
category,H68.1,category,AB10.3
category,H69,category,AB10.Z
category,H69.0,category,AB10.1
category,H69.8,category,AB10.Z
category,H69.9,category,AB10.Z
category,H70,category,AB11.Z
category,H70.0,category,AB11.0
category,H70.1,category,AB11.1
category,H70.2,category,AB11.2
category,H70.8,category,AB11.Z
category,H70.9,category,AB11.Z
category,H71,category,AB12
category,H72,category,AB13.Z
category,H72.0,category,AB13.0
category,H72.1,category,AB13.1
category,H72.2,category,AB13.Z
category,H72.8,category,AB13.Z
category,H72.9,category,AB13.Z
category,H73,category,AB1Z
category,H73.0,category,AB14
category,H73.1,category,AB15
category,H73.8,category,AB1Z
category,H73.9,category,AB1Z
category,H74,category,AB1Z
category,H74.0,category,AB16
category,H74.1,category,AB17
category,H74.2,category,AB18
category,H74.3,category,AB19
category,H74.4,category,AB1A.Z
category,H74.8,category,AB1Z
category,H74.9,category,AB1Z
category,H75,category,AB1Z
category,H75.0,category,AB1Z
category,H75.8,category,AB1Z
block,H80-H83,category,AB3Z
category,H80,category,AB33
category,H80.0,category,AB33
category,H80.1,category,AB33
category,H80.2,category,AB33
category,H80.8,category,AB33
category,H80.9,category,AB33
category,H81,category,AB34.Z
category,H81.0,category,AB31.0
category,H81.1,category,AB31.2
category,H81.2,category,AB30.0
category,H81.3,category,AB34.1
category,H81.4,category,MB48.00
category,H81.8,category,AB34.Z
category,H81.9,category,AB34.Z
category,H82,category,AB34.Z
category,H83,category,AB3Z
category,H83.0,category,AB30.1
category,H83.1,category,AB35
category,H83.2,category,AB36
category,H83.3,category,AB37
category,H83.8,category,AB3Z
category,H83.9,category,AB3Z
block,H90-H95,block,
block,H90-H95,category,AB5Z
category,H90,category,AB51.Z
category,H90.0,category,AB51.0
category,H90.1,category,AB51.0
category,H90.1,category,AB50.0
category,H90.2,category,AB51.Z
category,H90.2,category,AB50.0
category,H90.2,category,AB50.2
category,H90.3,category,AB51.1
category,H90.3,category,EC23.2
category,H90.4,category,AB51.1
category,H90.5,category,AB51.1
category,H90.6,category,AB51.2
category,H90.7,category,AB51.2
category,H90.7,category,XK70
category,H90.7,category,AB50.2
category,H90.8,category,AB51.2
category,H90.8,category,AB50.2
category,H91,category,AB5Z
category,H91.0,category,AB53
category,H91.1,category,AB54
category,H91.2,category,AB55
category,H91.3,category,AB5Z
category,H91.8,category,AB5Z
category,H91.9,category,AB5Z
category,H92,category,AB70
category,H92.0,category,AB70.2
category,H92.1,category,AB70.0
category,H92.2,category,AB70.1
category,H93,block,
category,H93.0,category,AB71
category,H93.1,category,MC41
category,H93.2,block,
category,H93.3,category,AB72.Z
category,H93.8,block,
category,H93.8,category,MC40
category,H93.9,block,
category,H94,category,AB72.0
category,H94.0,category,AB72.0
category,H94.8,category,AC0Z
category,H95,block,
category,H95.0,category,AB90
category,H95.1,category,AB91
category,H95.8,block,
category,H95.9,block,
chapter,IX,category,BE2Z
block,I00-I02,block,
category,I00,block,
category,I00,category,1B40.0
category,I00,category,1B40.Z
category,I01,category,1B41.Z
category,I01.0,category,1B41.0
category,I01.1,category,1B41.1Z
category,I01.2,category,1B41.2
category,I01.8,category,1B41.Z
category,I01.9,category,1B41.Z
category,I02,category,1B42
category,I02.0,category,1B42
category,I02.9,category,1B42
block,I05-I09,category,BB6Z
block,I05-I09,category,BC0Z
block,I05-I09,category,BB7Z
block,I05-I09,category,BB8Z
block,I05-I09,category,BC00
block,I05-I09,category,BC20.Z
category,I05,category,BB6Z
category,I05,category,BC0Z
category,I05.0,category,BB60.0
category,I05.0,category,BB60.Z
category,I05.1,category,BB61.0
category,I05.2,category,BB63.0
category,I05.2,category,BB63.Z
category,I05.8,category,BB6Z
category,I05.9,category,BB6Z
category,I05.9,category,BC01
category,I06,category,BB7Z
category,I06,category,BC0Z
category,I06.0,category,BB70.0
category,I06.1,category,BB71.0
category,I06.2,category,BB72.0
category,I06.8,category,BB7Z
category,I06.9,category,BB7Z
category,I06.9,category,BC01
category,I07,category,BB8Z
category,I07.0,category,BB80.0
category,I07.1,category,BB81.0
category,I07.2,category,BB82.0
category,I07.8,category,BB8Z
category,I07.9,category,BB8Z
category,I08,category,BC00
category,I08,category,BC0Z
category,I08.0,category,BC00
category,I08.1,category,BC00
category,I08.2,category,BC00
category,I08.3,category,BC00
category,I08.8,category,BC00
category,I08.9,category,BC00
category,I09,category,BC20.Z
category,I09.0,category,BC42.3Z
category,I09.1,category,BC0Z
category,I09.2,category,BB21
category,I09.8,category,BC0Z
category,I09.9,category,BC0Z
block,I10-I15,block,
category,I10,category,BA00.Z
category,I11,category,BA01
category,I11.0,category,BA01
category,I11.9,category,BA01
category,I12,category,BA02
category,I12.0,category,BA02
category,I12.9,category,BA02
category,I13,category,BA02
category,I13.0,category,BA01
category,I13.1,category,BA02
category,I13.2,category,BA02
category,I13.9,category,BA02
category,I15,category,BA04
category,I15.0,category,BA04
category,I15.1,category,BA04
category,I15.2,category,BA04
category,I15.8,category,BA04
category,I15.9,category,BA04
block,I20-I25,category,BA6Z
category,I20,category,BA40.Z
category,I20.0,category,BA40.0
category,I20.1,category,BA40.Z
category,I20.8,category,BA40.Z
category,I20.9,category,BA40.Z
category,I21,category,BA41.Z
category,I21.0,category,BA41.0
category,I21.1,category,BA41.0
category,I21.2,category,BA41.Z
category,I21.3,category,BA41.Z
category,I21.4,category,BA41.1
category,I21.9,category,BA41.Z
category,I22,category,BA42.Z
category,I22.0,category,BA42.Z
category,I22.1,category,BA42.Z
category,I22.8,category,BA42.Z
category,I22.9,category,BA42.Z
category,I23,category,BA60.Z
category,I23.0,category,BB24
category,I23.1,category,BC40.0
category,I23.2,category,BA60.3
category,I23.3,category,BA60.4
category,I23.4,category,BA60.6
category,I23.5,category,BA60.6
category,I23.6,category,BA60.7
category,I23.8,category,BA60.Z
category,I24,category,BA4Z
category,I24.0,category,BA43
category,I24.1,category,BA60.0
category,I24.8,category,BA4Z
category,I24.9,category,BA4Z
category,I25,category,BA5Z
category,I25.0,category,BA5Z
category,I25.1,category,BA80.Z
category,I25.1,category,BA8Z
category,I25.2,category,BA50
category,I25.3,category,BA60.2
category,I25.4,category,BA81
category,I25.4,category,BA8Z
category,I25.4,category,BA83
category,I25.4,category,BA82
category,I25.5,category,BA51
category,I25.6,category,BA4Z
category,I25.8,category,BA5Z
category,I25.9,category,BA5Z
block,I26-I28,category,BB0Z
category,I26,category,BB00.Z
category,I26.0,category,BB00.Z
category,I26.9,category,BB01.0
category,I27,category,BB01.Z
category,I27,category,BB01.0
category,I27,category,BE2Z
category,I27,category,BB01.1
category,I27,category,BB01.2
category,I27,category,BB01.4
category,I27.0,category,BB01.Z
category,I27.0,category,BB01.0
category,I27.1,category,BE2Z
category,I27.2,category,BB01.1
category,I27.2,category,BB01.2
category,I27.2,category,BB01.4
category,I27.2,category,BB01.0
category,I27.8,category,BB0Z
category,I27.9,category,BB0Z
category,I28,category,BB02
category,I28.0,category,BB02.0
category,I28.1,category,BB02.1Z
category,I28.8,category,4A44.Z
category,I28.9,category,BB02
block,I30-I52,category,BE2Z
category,I30,category,BB20.Z
category,I30.0,category,BB20.Z
category,I30.1,category,BB20.0
category,I30.8,category,BB20.Z
category,I30.9,category,BB20.Z
category,I31,category,BB2Z
category,I31.0,category,BB2Z
category,I31.1,category,BB22
category,I31.2,category,BB24
category,I31.3,category,BB25
category,I31.8,category,BB2Z
category,I31.9,category,BB2Z
category,I32,category,BB20.Z
category,I32.0,category,BB20.Z
category,I32.1,category,BB20.Z
category,I32.8,category,BB20.Z
category,I33,category,BB4Z
category,I33.0,category,BB40
category,I33.9,category,BB42
category,I33.9,category,BB41
category,I34,category,BC00
category,I34,category,BC0Z
category,I34.0,category,BB61.Z
category,I34.0,category,BB63.1
category,I34.0,category,BC01
category,I34.0,category,BB63.Z
category,I34.1,category,BB62.Z
category,I34.2,category,BB60.1
category,I34.2,category,BB60.Z
category,I34.2,category,BB63.1
category,I34.2,category,BC01
category,I34.2,category,BB63.Z
category,I34.8,category,BB6Z
category,I34.9,category,BB6Z
category,I34.9,category,BC01
category,I35,category,BC00
category,I35,category,BC0Z
category,I35.0,category,BB70.Z
category,I35.0,category,BC01
category,I35.1,category,BB71.Z
category,I35.1,category,BC01
category,I35.2,category,BB72.Z
category,I35.2,category,BC01
category,I35.8,category,BB7Z
category,I35.8,category,BB74
category,I35.9,category,BB7Z
category,I35.9,category,BC01
category,I36,category,BC00
category,I36,category,BB8Z
category,I36,category,BC0Z
category,I36.0,category,BB80.Z
category,I36.0,category,BC01
category,I36.1,category,BB81.Z
category,I36.1,category,BB8Z
category,I36.1,category,BC01
category,I36.2,category,BB82.Z
category,I36.8,category,BB8Z
category,I36.9,category,BB8Z
category,I36.9,category,BC01
category,I37,category,BC00
category,I37,category,BC0Z
category,I37.0,category,BB90.Z
category,I37.0,category,BC01
category,I37.1,category,BB91.Z
category,I37.1,category,BC01
category,I37.2,category,BB92.Z
category,I37.8,category,BB9Z
category,I37.8,category,BC01
category,I37.9,category,BB9Z
category,I37.9,category,BC01
category,I38,category,BC0Z
category,I38,category,BB4Z
category,I39,category,BC0Z
category,I39.0,category,BB6Z
category,I39.1,category,BB7Z
category,I39.2,category,BB8Z
category,I39.3,category,BB9Z
category,I39.4,category,BC00
category,I39.8,category,BC0Z
category,I40,category,BC42.Z
category,I40.0,category,BC42.1
category,I40.1,category,BC42.1
category,I40.8,category,BC42.Z
category,I40.8,category,BC42.0
category,I40.8,category,BC42.2
category,I40.8,category,BC43.01
category,I40.9,category,BC42.Z
category,I41,category,BE2Z
category,I41.0,category,BE2Z
category,I41.1,category,BE2Z
category,I41.2,category,BE2Z
category,I41.8,category,BE2Z
category,I42,category,BC43.Z
category,I42.0,category,BC43.0Z
category,I42.1,category,BC43.12
category,I42.1,category,BC43.1Z
category,I42.2,category,BC43.1Z
category,I42.2,category,BC43.11
category,I42.3,category,BC43.20
category,I42.4,category,BC43.3
category,I42.4,category,BC43.20
category,I42.5,category,BC43.Z
category,I42.6,category,BC43.01
category,I42.7,category,BC43.4
category,I42.8,category,BC43.Z
category,I42.9,category,BC43.Z
category,I43,category,BC43.Z
category,I43.0,category,BC43.Z
category,I43.1,category,BC43.Z
category,I43.2,category,BC43.Z
category,I43.8,category,BC43.Z
category,I44,category,BC63.0
category,I44,category,BC63.1Z
category,I44,category,BC63.2Z
category,I44,category,BC63.Z
category,I44,category,BC63.40
category,I44,category,BC63.41
category,I44,category,BC63.4Z
category,I44.0,category,BC63.0
category,I44.1,category,BC63.1Z
category,I44.2,category,BC63.2Z
category,I44.3,category,BC63.Z
category,I44.4,category,BC63.40
category,I44.5,category,BC63.41
category,I44.6,category,BC63.Z
category,I44.7,category,BC63.4Z
category,I45,category,BC63.Z
category,I45.0,category,BC63.3
category,I45.1,category,BC63.3
category,I45.2,category,BC63.Z
category,I45.3,category,BC63.Z
category,I45.4,category,BC63.5
category,I45.5,category,BC63.Z
category,I45.5,category,BC80.0
category,I45.5,category,BC80.21
category,I45.6,category,BC81.4
category,I45.8,category,BC63.Z
category,I45.9,category,BC63.Z
category,I46,category,MC82.Z
category,I46.0,category,MC82.Z
category,I46.1,category,MC82.Z
category,I46.9,category,MC82.0
category,I46.9,category,MC82.1
category,I46.9,category,MC82.2
category,I46.9,category,MC82.Z
category,I46.9,category,MC82.3
category,I47,category,MC81.3
category,I47.0,category,BC9Z
category,I47.1,category,BC81.5
category,I47.1,category,BC81.0
category,I47.1,category,BC81.7Z
category,I47.1,category,BC81.2Z
category,I47.1,category,BC81.8
category,I47.1,category,BC81.21
category,I47.1,category,BC81.20
category,I47.1,category,BC81.1
category,I47.2,category,BC71.0Z
category,I47.2,category,BC65.5
category,I47.9,category,MC81.3
category,I48,category,BC81.Z
category,I48.0,category,BC81.30
category,I48.1,category,BC81.31
category,I48.2,category,BC81.32
category,I48.3,category,BC81.20
category,I48.4,category,BC81.20
category,I48.9,category,BC81.33
category,I49,category,BC71.1
category,I49,category,BC60
category,I49,category,BC61
category,I49,category,BC70
category,I49,category,BC9Z
category,I49,category,BC80.20
category,I49,category,BC65.3
category,I49,category,BC65.Z
category,I49,category,BC65.1
category,I49,category,BC65.4
category,I49,category,BC81.Z
category,I49,category,BC62
category,I49,category,BC65.0
category,I49,category,BC71.Z
category,I49,category,BC81.6
category,I49,category,BC65.2
category,I49,category,BC8Z
category,I49,category,BC90
category,I49,category,BC64
category,I49.0,category,BC71.1
category,I49.1,category,BC60
category,I49.2,category,BC61
category,I49.3,category,BC70
category,I49.4,category,BC9Z
category,I49.5,category,BC80.20
category,I49.8,category,BC9Z
category,I49.8,category,BC65.3
category,I49.8,category,BC65.Z
category,I49.8,category,BC65.1
category,I49.8,category,BC65.4
category,I49.8,category,BC81.Z
category,I49.8,category,BC62
category,I49.8,category,BC65.0
category,I49.8,category,BC71.Z
category,I49.8,category,BC81.6
category,I49.8,category,BC65.2
category,I49.8,category,BC8Z
category,I49.8,category,BC90
category,I49.9,category,BC9Z
category,I49.9,category,BC64
category,I50,category,BD1Z
category,I50.0,category,BD10.Z
category,I50.1,category,BD11.Z
category,I50.9,category,BD1Z
category,I51,category,BC4Z
category,I51.0,category,BC40.0
category,I51.0,category,BA60.3
category,I51.0,category,BC41.0
category,I51.0,category,BE18
category,I51.0,category,BD93.0
category,I51.1,category,BC0Z
category,I51.2,category,BC0Z
category,I51.3,category,BC46
category,I51.4,category,BC42.Z
category,I51.5,category,BC4Z
category,I51.6,category,BC4Z
category,I51.7,category,BC45
category,I51.8,category,BB64
category,I51.8,category,BB84
category,I51.8,category,BC80.2Z
category,I51.8,category,BB73
category,I51.8,category,BB93
category,I51.8,category,BB83
category,I51.8,category,BB65
category,I51.9,category,BC4Z
category,I52,category,BE2Z
category,I52.0,category,BE2Z
category,I52.1,category,BE2Z
category,I52.8,category,BE2Z
block,I60-I69,category,8B2Z
category,I60,category,8B01
category,I60.0,category,8B01.0
category,I60.1,category,8B01.0
category,I60.2,category,8B01.0
category,I60.3,category,8B01.0
category,I60.4,category,8B01.0
category,I60.5,category,8B01.0
category,I60.6,category,8B01.0
category,I60.7,category,8B01.0
category,I60.8,category,8B01
category,I60.9,category,8B01
category,I61,category,8B00.Z
category,I61.0,category,8B00.0
category,I61.1,category,8B00.1
category,I61.2,category,8B00.Z
category,I61.3,category,8B00.2
category,I61.4,category,8B00.3
category,I61.5,category,8B00.4
category,I61.6,category,8B00.5
category,I61.8,category,8B00.Z
category,I61.9,category,8B00.Z
category,I62,category,8B0Z
category,I62.0,category,8B02
category,I62.1,category,8B03
category,I62.9,category,8B0Z
category,I63,category,8B11
category,I63.0,category,8B11
category,I63.1,category,8B11
category,I63.2,category,8B11
category,I63.3,category,8B11
category,I63.4,category,8B11
category,I63.5,category,8B11
category,I63.6,category,8B11
category,I63.8,category,8B11
category,I63.9,category,8B11
category,I64,category,8B20
category,I65,category,BD55
category,I65.0,category,BD55
category,I65.1,category,BD55
category,I65.2,category,BD55
category,I65.3,category,BD55
category,I65.8,category,BD55
category,I65.9,category,BD55
category,I66,category,BD55
category,I66.0,category,BD55
category,I66.1,category,BD55
category,I66.2,category,BD55
category,I66.3,category,BD55
category,I66.4,category,BD55
category,I66.8,category,BD55
category,I66.9,category,BD55
category,I67,category,8B22
category,I67.0,category,8B22.0
category,I67.1,category,8B22.5
category,I67.2,category,8B22
category,I67.3,category,6D81
category,I67.4,category,8B22.8
category,I67.5,category,8B22.B
category,I67.6,category,8B22.1
category,I67.7,category,8B22.7Z
category,I67.7,category,4A44.7
category,I67.8,category,8B1Z
category,I67.9,category,8B22
category,I68,category,8B23
category,I68.0,category,5D00.0
category,I68.1,category,8B22.7Z
category,I68.2,category,8B23
category,I68.8,category,8B23
category,I69,category,8B25.Z
category,I69.0,category,8B25.2
category,I69.1,category,8B25.1
category,I69.2,category,8B25.3
category,I69.3,category,8B25.0
category,I69.4,category,8B25.4
category,I69.8,category,8B25.Z
block,I70-I79,category,BD5Z
category,I70,category,BD40.Z
category,I70.0,category,BD40.1
category,I70.1,category,BD40.2
category,I70.2,category,BD40.Z
category,I70.2,category,BD40.0Z
category,I70.8,category,BD40.Z
category,I70.9,category,BD40.Z
category,I71,category,BD50.Z
category,I71.0,category,BD50.Z
category,I71.1,category,BD50.3Z
category,I71.2,category,BD50.3Z
category,I71.3,category,BD50.4Z
category,I71.4,category,BD50.4Z
category,I71.5,category,BD50.5Z
category,I71.6,category,BD50.5Z
category,I71.8,category,BD50.Z
category,I71.9,category,BD50.Z
category,I72,category,BD51.Z
category,I72.0,category,BD51.0
category,I72.1,category,BD51.3
category,I72.2,category,BD51.4
